Negative,Positive,WC
0.000001,0.999999,36
0.998698,0.001302,22
0.000017,0.999984,33
1.000000,0.000000,12
1.000000,0.000000,14
1.000000,0.000000,13
0.001297,0.998703,21
0.999806,0.000194,24
0.013467,0.986533,24
0.010313,0.989687,25
1.000000,0.000000,23
0.003983,0.996017,17
0.000029,0.999971,17
0.916245,0.083755,21
0.000522,0.999478,21
0.995835,0.004165,23
0.990429,0.009571,21
0.218108,0.781892,21
0.000000,1.000000,23
0.003501,0.996499,25
0.000000,1.000000,20
1.000000,0.000000,22
0.998627,0.001373,21
0.696597,0.303403,26
1.000000,0.000000,23
0.955268,0.044732,14
0.057935,0.942065,12
0.001198,0.998802,12
0.035102,0.964898,15
1.000000,0.000000,24
1.000000,0.000000,23
0.001869,0.998131,17
0.265095,0.734905,25
0.000018,0.999982,32
0.999996,0.000004,22
0.999694,0.000306,26
0.001321,0.998679,25
0.599270,0.400730,18
0.999998,0.000002,20
0.599376,0.400624,24
0.168180,0.831820,25
0.000017,0.999983,18
0.004873,0.995127,21
0.994694,0.005306,24
1.000000,0.000000,23
0.000659,0.999340,18
0.000000,1.000000,18
0.921243,0.078757,18
0.013743,0.986257,25
0.994014,0.005986,21
0.997115,0.002885,24
0.993438,0.006562,18
0.013493,0.986507,22
0.159524,0.840476,21
0.849974,0.150026,20
0.995396,0.004604,14
0.007568,0.992432,17
1.000000,0.000000,17
0.000002,0.999998,19
0.999997,0.000003,25
1.000000,0.000000,19
0.999951,0.000049,21
0.999999,0.000001,20
0.000000,1.000000,23
0.000000,1.000000,21
0.999603,0.000397,25
0.999999,0.000001,25
0.999992,0.000008,23
0.997195,0.002805,18
0.000001,0.999999,22
1.000000,0.000000,17
0.985214,0.014786,22
0.010371,0.989629,22
0.984456,0.015544,13
0.001567,0.998433,23
1.000000,0.000000,22
0.000008,0.999992,9
1.000000,0.000000,27
0.020963,0.979037,15
0.999999,0.000001,24
0.968282,0.031718,11
0.993845,0.006155,19
0.006262,0.993738,23
0.000458,0.999542,22
1.000000,0.000000,25
0.000000,1.000000,26
1.000000,0.000000,22
0.192285,0.807715,22
0.913615,0.086385,21
0.577764,0.422236,19
0.000016,0.999984,22
0.974619,0.025381,22
1.000000,0.000000,25
1.000000,0.000000,22
0.998862,0.001138,23
1.000000,0.000000,23
0.008889,0.991111,23
0.999972,0.000028,18
1.000000,0.000000,22
0.000098,0.999902,23
0.008805,0.991195,25
0.981643,0.018357,24
0.999723,0.000277,18
0.000000,1.000000,27
0.037913,0.962087,18
0.000000,1.000000,17
0.018135,0.981865,27
1.000000,0.000000,23
0.000018,0.999982,22
0.354214,0.645786,19
0.052387,0.947613,22
0.999995,0.000005,13
0.999966,0.000034,22
0.999751,0.000249,18
0.000000,1.000000,19
1.000000,0.000000,12
1.000000,0.000000,25
0.000150,0.999851,23
1.000000,0.000000,20
0.000000,1.000000,21
0.998680,0.001320,29
0.999606,0.000394,19
0.128467,0.871533,24
0.406372,0.593628,28
0.006710,0.993290,27
0.000156,0.999844,26
0.697076,0.302924,25
0.000001,0.999999,25
0.760839,0.239161,26
0.172922,0.827078,23
0.235768,0.764232,23
0.999830,0.000170,22
0.999995,0.000005,22
0.051060,0.948940,24
0.996784,0.003216,22
0.999999,0.000001,26
0.000105,0.999895,23
0.000121,0.999879,26
0.999785,0.000215,21
0.000041,0.999959,24
0.002707,0.997293,26
0.999941,0.000058,25
0.989878,0.010122,19
1.000000,0.000000,22
0.344428,0.655572,23
0.000020,0.999980,20
0.999920,0.000080,24
0.285958,0.714042,26
0.623335,0.376665,20
1.000000,0.000000,24
0.001163,0.998837,25
0.000015,0.999985,19
0.782058,0.217942,24
0.996495,0.003505,28
0.229050,0.770950,22
0.000209,0.999791,18
1.000000,0.000000,23
1.000000,0.000000,25
0.588569,0.411431,25
0.846815,0.153185,19
0.350268,0.649732,26
1.000000,0.000000,20
0.999996,0.000004,23
0.000050,0.999950,23
0.999999,0.000001,18
0.163001,0.836999,23
0.995616,0.004384,20
0.002323,0.997677,52
0.379801,0.620199,28
0.999489,0.000511,22
0.892506,0.107494,25
0.999979,0.000020,20
0.993009,0.006991,24
0.984608,0.015392,23
0.845501,0.154499,19
0.000000,1.000000,18
1.000000,0.000000,24
0.999999,0.000001,20
0.000652,0.999348,19
0.959387,0.040613,16
0.995192,0.004808,22
0.999227,0.000773,23
0.000195,0.999805,25
0.000000,1.000000,12
0.137977,0.862023,20
0.004840,0.995160,22
1.000000,0.000000,18
0.655413,0.344587,20
0.999999,0.000001,17
0.000026,0.999974,18
0.999939,0.000061,21
0.000026,0.999974,15
0.998970,0.001030,21
0.000046,0.999954,20
0.001266,0.998735,16
0.999950,0.000050,20
0.978181,0.021819,19
0.899222,0.100778,21
0.030088,0.969912,18
1.000000,0.000000,21
0.999868,0.000132,25
0.913620,0.086380,23
0.000917,0.999084,28
0.128674,0.871326,23
0.974788,0.025212,21
1.000000,0.000000,24
0.000000,1.000000,16
0.000000,1.000000,22
0.436396,0.563604,24
0.001647,0.998353,19
1.000000,0.000000,22
1.000000,0.000000,20
0.000097,0.999903,14
0.001166,0.998834,19
0.000000,1.000000,13
0.000529,0.999471,17
0.000001,0.999999,22
0.948789,0.051211,22
0.000302,0.999698,20
0.999951,0.000049,9
0.000129,0.999871,18
0.000000,1.000000,23
0.999992,0.000008,19
0.999519,0.000481,17
0.000240,0.999760,20
0.241358,0.758642,25
0.672630,0.327370,21
1.000000,0.000000,22
1.000000,0.000000,19
0.000000,1.000000,23
0.870972,0.129028,22
0.999988,0.000012,25
0.000023,0.999977,26
0.999996,0.000004,23
1.000000,0.000000,26
0.024830,0.975170,22
