Negative,Positive,WC
0.000294,0.999706,17
0.000377,0.999623,23
0.046024,0.953976,2
0.999730,0.000270,22
0.200280,0.799720,14
0.000000,1.000000,12
0.493537,0.506463,1
0.999978,0.000022,13
0.002617,0.997383,7
0.999982,0.000018,24
0.000704,0.999296,22
0.463841,0.536159,13
1.000000,0.000000,17
0.632308,0.367692,21
0.529239,0.470761,21
0.326458,0.673542,2
0.000000,1.000000,15
0.055974,0.944026,16
1.000000,0.000000,16
0.999996,0.000004,23
0.008241,0.991759,19
0.000000,1.000000,6
0.999999,0.000001,13
1.000000,0.000000,18
0.000039,0.999961,28
0.999983,0.000017,8
0.985496,0.014504,12
1.000000,0.000000,10
0.493537,0.506463,1
0.984232,0.015768,2
0.002837,0.997163,28
0.658882,0.341119,19
0.003695,0.996305,9
0.972746,0.027254,19
0.079756,0.920244,17
1.000000,0.000000,22
0.323239,0.676761,4
0.999997,0.000003,30
0.000183,0.999817,20
0.794724,0.205276,2
0.999972,0.000028,17
0.000010,0.999990,6
0.970802,0.029198,2
0.053039,0.946961,15
0.829578,0.170422,10
0.000007,0.999993,12
0.423361,0.576639,13
0.697398,0.302602,21
0.410076,0.589924,3
0.058771,0.941229,26
0.004370,0.995630,4
0.999999,0.000001,25
0.029633,0.970367,9
0.029633,0.970367,9
0.113525,0.886474,11
0.493537,0.506463,1
0.999993,0.000007,22
0.000641,0.999359,22
1.000000,0.000000,15
0.810705,0.189295,1
0.999926,0.000074,15
1.000000,0.000000,20
0.203399,0.796601,23
0.999971,0.000029,28
0.861129,0.138871,9
1.000000,0.000000,25
0.999995,0.000005,17
0.999999,0.000001,15
1.000000,0.000000,6
1.000000,0.000000,10
0.001836,0.998164,10
1.000000,0.000000,7
0.001179,0.998821,20
0.000000,1.000000,20
0.999999,0.000001,19
0.999923,0.000077,21
1.000000,0.000000,27
0.999928,0.000072,6
0.000636,0.999364,24
0.996782,0.003218,9
0.215088,0.784912,17
0.979200,0.020799,6
0.987843,0.012157,17
0.000221,0.999779,23
0.000000,1.000000,21
0.999429,0.000571,21
0.000009,0.999991,22
1.000000,0.000000,15
0.026262,0.973738,13
0.820134,0.179866,9
0.999996,0.000004,9
0.000000,1.000000,27
0.886285,0.113714,18
1.000000,0.000000,25
1.000000,0.000000,18
0.655745,0.344256,23
0.000179,0.999821,21
0.126155,0.873845,8
0.998526,0.001474,4
1.000000,0.000000,11
1.000000,0.000000,19
1.000000,0.000000,19
1.000000,0.000000,12
0.000003,0.999997,10
0.999997,0.000003,15
0.782225,0.217775,5
0.050249,0.949751,11
0.015613,0.984387,11
0.907270,0.092730,3
1.000000,0.000000,18
0.000071,0.999929,16
0.991326,0.008674,22
0.017584,0.982416,8
0.001868,0.998133,19
0.001010,0.998990,5
0.003258,0.996742,24
0.000022,0.999978,18
0.999895,0.000105,26
0.075514,0.924486,9
1.000000,0.000000,18
0.000000,1.000000,27
0.563246,0.436754,2
0.999955,0.000045,11
0.077175,0.922825,23
0.000002,0.999998,24
0.000001,1.000000,20
1.000000,0.000000,10
0.982224,0.017776,10
1.000000,0.000000,18
0.911049,0.088951,22
0.630834,0.369166,1
0.999323,0.000677,17
0.049417,0.950583,16
0.000022,0.999978,12
0.406655,0.593345,24
0.999913,0.000088,14
1.000000,0.000000,15
0.155882,0.844118,18
0.003899,0.996101,19
0.002491,0.997509,17
0.002140,0.997860,15
0.886613,0.113387,23
0.280349,0.719651,15
0.999126,0.000874,20
0.000080,0.999920,9
0.000712,0.999288,22
0.000000,1.000000,13
0.999999,0.000001,20
0.000017,0.999983,11
1.000000,0.000000,24
0.999985,0.000015,18
0.002340,0.997659,14
0.000002,0.999998,19
0.989603,0.010397,10
0.004756,0.995244,20
1.000000,0.000000,17
0.029169,0.970831,4
0.001231,0.998769,16
0.999866,0.000134,17
0.999305,0.000695,3
0.999976,0.000024,11
0.521925,0.478075,26
0.999999,0.000001,3
0.999393,0.000606,5
0.000000,1.000000,12
0.001317,0.998683,33
1.000000,0.000000,27
0.493537,0.506463,1
0.986127,0.013873,17
0.000000,1.000000,6
0.977913,0.022087,13
0.000027,0.999973,21
0.000930,0.999070,21
0.000008,0.999992,9
1.000000,0.000000,14
1.000000,0.000000,15
0.999216,0.000784,22
1.000000,0.000000,19
0.493537,0.506463,1
1.000000,0.000000,18
0.591487,0.408513,15
0.999913,0.000087,13
0.493537,0.506463,1
0.493537,0.506463,1
0.493537,0.506463,1
0.810705,0.189295,1
0.999983,0.000017,6
1.000000,0.000000,8
0.000191,0.999809,31
0.001589,0.998411,10
0.958759,0.041241,20
0.000015,0.999985,18
0.000000,1.000000,14
0.000001,0.999999,28
1.000000,0.000000,20
0.630834,0.369166,1
0.493537,0.506463,1
0.407518,0.592482,10
0.493537,0.506463,1
0.493537,0.506463,1
0.000003,0.999997,11
0.000071,0.999929,17
0.999999,0.000001,15
0.007733,0.992266,15
0.000003,0.999997,25
0.000186,0.999814,30
1.000000,0.000000,6
0.000000,1.000000,13
0.000000,1.000000,14
0.994337,0.005663,4
0.999519,0.000481,15
0.997849,0.002151,2
0.769664,0.230336,7
1.000000,0.000000,26
0.000752,0.999248,25
0.989377,0.010623,5
0.999952,0.000048,22
0.855345,0.144655,22
0.410076,0.589924,3
0.996132,0.003868,16
0.698111,0.301889,5
0.000189,0.999811,26
1.000000,0.000000,16
0.000000,1.000000,3
0.005203,0.994797,4
0.819353,0.180647,16
0.321718,0.678282,24
0.006707,0.993293,28
1.000000,0.000000,20
0.000697,0.999303,24
0.392568,0.607432,18
0.373381,0.626619,10
0.000006,0.999994,20
0.988627,0.011373,25
0.003415,0.996585,14
0.127954,0.872046,16
0.999607,0.000393,14
0.968230,0.031770,8
0.996149,0.003851,18
1.000000,0.000000,19
1.000000,0.000000,21
0.999977,0.000023,23
0.999996,0.000004,24
0.999996,0.000004,24
0.999900,0.000100,23
0.999993,0.000007,23
0.916292,0.083708,22
0.355017,0.644983,28
0.119002,0.880998,15
0.008010,0.991990,14
1.000000,0.000000,26
0.000002,0.999998,13
0.990202,0.009798,5
0.999998,0.000002,14
1.000000,0.000000,26
1.000000,0.000000,15
0.998868,0.001132,3
0.867783,0.132217,21
0.792790,0.207210,17
0.000000,1.000000,16
1.000000,0.000000,5
1.000000,0.000000,17
0.359612,0.640388,20
0.006307,0.993693,17
0.000035,0.999965,17
0.260677,0.739323,23
1.000000,0.000000,15
0.000072,0.999928,6
0.000000,1.000000,11
0.000000,1.000000,30
0.975451,0.024549,22
0.735200,0.264800,24
0.000000,1.000000,18
0.000056,0.999944,21
0.000000,1.000000,24
1.000000,0.000000,27
0.067800,0.932200,20
0.984106,0.015894,20
1.000000,0.000000,3
1.000000,0.000000,36
1.000000,0.000000,14
1.000000,0.000000,12
0.994175,0.005825,14
0.999998,0.000002,18
0.001422,0.998578,11
0.000000,1.000000,14
0.999953,0.000047,15
1.000000,0.000000,23
0.000000,1.000000,17
0.000000,1.000000,9
0.493537,0.506463,1
0.086631,0.913369,35
0.999148,0.000852,18
0.096019,0.903981,23
1.000000,0.000000,23
0.542041,0.457959,23
0.999997,0.000003,20
0.022419,0.977581,16
0.999240,0.000760,20
0.010612,0.989388,8
0.999999,0.000001,20
0.999991,0.000009,12
0.912028,0.087972,11
0.170729,0.829271,3
0.000000,1.000000,15
1.000000,0.000000,17
0.110936,0.889064,15
0.999934,0.000066,19
0.172026,0.827974,14
0.000000,1.000000,11
0.000000,1.000000,29
0.000000,1.000000,8
0.997838,0.002162,10
0.769949,0.230051,31
0.096682,0.903318,23
1.000000,0.000000,31
1.000000,0.000000,14
0.000006,0.999994,17
0.985775,0.014225,22
1.000000,0.000000,7
0.001009,0.998991,16
0.310498,0.689502,4
0.994660,0.005340,24
0.000000,1.000000,18
0.999891,0.000109,8
1.000000,0.000000,9
0.000882,0.999118,13
0.000000,1.000000,8
1.000000,0.000000,2
0.999451,0.000549,13
0.000144,0.999856,17
0.930390,0.069610,3
0.999128,0.000872,8
1.000000,0.000000,22
0.000741,0.999259,20
0.493537,0.506463,1
1.000000,0.000000,11
0.006713,0.993287,9
0.000000,1.000000,7
0.000000,1.000000,29
0.998208,0.001792,22
1.000000,0.000000,13
1.000000,0.000000,16
0.000003,0.999997,19
0.003149,0.996851,4
0.299721,0.700279,3
0.028896,0.971104,21
0.000002,0.999998,17
0.000000,1.000000,15
0.999999,0.000001,24
0.999747,0.000253,17
0.398359,0.601641,26
1.000000,0.000000,21
0.002093,0.997907,17
1.000000,0.000000,16
0.009203,0.990797,5
0.995234,0.004766,6
0.000000,1.000000,18
0.000268,0.999732,13
0.638050,0.361950,13
0.045369,0.954631,14
0.000071,0.999929,15
1.000000,0.000000,21
0.657865,0.342135,20
0.999995,0.000005,19
0.011766,0.988234,14
0.347654,0.652346,4
0.999985,0.000015,18
0.000000,1.000000,14
0.090117,0.909883,13
0.792789,0.207211,8
0.999976,0.000024,21
0.002353,0.997647,23
0.000001,0.999999,26
0.170729,0.829271,3
1.000000,0.000000,13
0.182525,0.817475,23
0.999993,0.000007,18
0.999703,0.000298,10
0.000000,1.000000,15
0.240634,0.759366,10
0.999957,0.000043,12
0.493537,0.506463,1
0.000002,0.999998,18
0.000001,0.999999,20
0.000008,0.999992,19
0.000000,1.000000,11
0.000000,1.000000,16
0.006415,0.993585,14
0.130404,0.869596,7
0.999979,0.000021,24
0.000001,0.999999,10
0.000001,0.999999,23
0.999994,0.000006,21
0.000957,0.999043,9
0.999486,0.000514,17
1.000000,0.000000,26
0.599349,0.400651,25
0.003244,0.996756,21
0.999995,0.000005,13
0.999821,0.000179,27
0.999999,0.000001,6
0.000001,1.000000,22
0.956040,0.043960,13
0.999898,0.000102,25
0.610172,0.389828,20
0.000000,1.000000,7
0.015050,0.984950,24
0.015019,0.984981,17
0.959660,0.040340,19
0.937208,0.062792,17
0.000023,0.999977,21
0.000009,0.999990,15
0.012275,0.987725,2
0.630645,0.369355,12
1.000000,0.000000,15
0.038453,0.961547,13
1.000000,0.000000,34
0.000048,0.999952,19
0.920016,0.079984,22
0.000002,0.999998,21
0.998311,0.001689,23
0.998785,0.001215,22
0.999997,0.000003,15
0.000321,0.999679,15
1.000000,0.000000,18
1.000000,0.000000,12
0.998526,0.001474,4
1.000000,0.000000,17
1.000000,0.000000,3
0.999540,0.000460,17
1.000000,0.000000,23
0.000018,0.999982,6
0.000000,1.000000,8
1.000000,0.000000,4
1.000000,0.000000,5
1.000000,0.000000,8
0.007560,0.992440,6
1.000000,0.000000,7
0.999999,0.000001,19
0.975810,0.024190,9
0.000146,0.999854,20
1.000000,0.000000,8
0.999972,0.000028,10
0.000000,1.000000,19
0.999968,0.000032,21
0.936436,0.063564,19
0.524597,0.475403,6
0.000000,1.000000,8
0.026755,0.973245,18
0.000000,1.000000,21
0.999962,0.000038,4
0.000173,0.999827,11
0.001029,0.998971,12
1.000000,0.000000,27
0.000001,0.999999,18
0.000111,0.999889,13
0.493537,0.506463,1
0.766493,0.233507,20
1.000000,0.000000,23
1.000000,0.000000,10
1.000000,0.000000,10
0.000000,1.000000,15
0.000012,0.999988,7
1.000000,0.000000,10
0.999421,0.000579,23
0.999996,0.000004,8
0.999967,0.000033,12
0.888504,0.111496,4
0.563246,0.436754,2
0.987751,0.012249,18
1.000000,0.000000,19
0.998819,0.001181,9
0.003710,0.996290,18
0.001742,0.998258,19
0.999984,0.000016,18
0.014416,0.985584,17
0.219245,0.780755,19
0.002624,0.997376,12
0.000000,1.000000,21
0.000313,0.999687,14
0.993042,0.006958,6
0.000269,0.999731,22
0.667346,0.332654,15
0.984014,0.015986,13
0.000015,0.999985,6
0.000009,0.999991,15
0.008217,0.991783,8
0.999839,0.000161,15
0.061582,0.938418,11
0.191332,0.808668,21
0.326458,0.673542,2
1.000000,0.000000,24
1.000000,0.000000,20
1.000000,0.000000,15
0.000000,1.000000,16
0.000468,0.999532,12
0.000004,0.999996,5
0.000001,0.999999,20
0.000000,1.000000,16
0.000037,0.999963,17
0.000002,0.999998,14
0.999980,0.000020,27
0.886161,0.113839,16
0.037230,0.962770,13
1.000000,0.000000,5
0.999939,0.000061,6
0.985368,0.014632,9
0.032537,0.967463,20
1.000000,0.000000,22
1.000000,0.000000,23
0.000001,0.999999,23
0.000356,0.999644,11
0.590023,0.409977,16
1.000000,0.000000,27
0.493537,0.506463,1
1.000000,0.000000,27
0.120174,0.879826,14
0.936153,0.063847,19
1.000000,0.000000,16
0.999868,0.000132,18
0.000000,1.000000,18
0.999999,0.000001,22
0.000119,0.999881,13
0.042792,0.957209,15
0.999919,0.000081,7
0.999999,0.000001,23
0.000007,0.999993,15
0.006025,0.993975,11
0.493537,0.506463,1
0.996317,0.003683,5
1.000000,0.000000,22
0.000095,0.999905,14
0.000001,0.999999,13
0.998034,0.001966,30
1.000000,0.000000,13
0.787887,0.212113,15
0.019259,0.980741,17
1.000000,0.000000,11
1.000000,0.000000,6
