Negative,Positive,WC
0.001216,0.998784,24
0.963043,0.036957,26
0.109109,0.890891,26
0.000001,0.999999,24
0.000292,0.999708,6
0.999865,0.000135,21
0.980099,0.019901,20
0.994367,0.005633,22
1.000000,0.000000,26
0.018539,0.981461,23
0.155871,0.844129,21
0.921934,0.078066,24
0.929565,0.070435,27
0.999993,0.000007,19
1.000000,0.000000,17
0.099681,0.900319,23
1.000000,0.000000,25
0.000000,1.000000,26
0.242210,0.757790,25
0.999990,0.000010,20
0.001810,0.998190,26
0.648302,0.351698,26
1.000000,0.000000,28
0.886789,0.113210,20
0.999919,0.000081,19
0.999902,0.000099,24
0.048639,0.951361,23
0.000000,1.000000,16
0.932296,0.067704,23
0.999534,0.000466,30
0.832761,0.167239,24
1.000000,0.000000,25
0.997272,0.002728,18
0.514647,0.485353,21
0.620478,0.379522,23
1.000000,0.000000,25
0.000008,0.999992,20
0.330352,0.669648,21
0.999950,0.000050,25
0.993517,0.006483,24
0.082352,0.917648,24
0.984322,0.015678,22
0.000013,0.999987,25
0.000000,1.000000,21
0.000080,0.999920,28
0.167005,0.832995,24
0.000000,1.000000,26
0.918617,0.081383,19
0.483217,0.516783,23
0.157193,0.842807,24
0.948332,0.051668,24
0.000000,1.000000,20
0.067297,0.932703,19
0.000335,0.999665,19
0.958578,0.041422,20
0.000211,0.999789,20
0.981103,0.018897,23
0.382353,0.617647,21
1.000000,0.000000,24
0.214704,0.785296,25
0.000377,0.999623,20
0.528597,0.471403,19
1.000000,0.000000,21
0.999691,0.000309,21
0.000022,0.999978,21
0.997079,0.002921,20
1.000000,0.000000,22
0.999995,0.000005,18
1.000000,0.000000,21
0.674840,0.325160,21
0.987077,0.012923,22
0.175921,0.824079,22
0.041934,0.958066,24
0.000145,0.999855,26
1.000000,0.000000,19
0.587434,0.412566,18
0.723598,0.276402,24
0.000000,1.000000,23
1.000000,0.000000,24
0.677376,0.322624,25
0.999998,0.000002,18
0.004919,0.995081,19
0.149211,0.850789,21
0.000000,1.000000,23
0.999814,0.000186,21
0.993783,0.006217,24
0.986566,0.013434,22
0.959612,0.040388,19
0.999892,0.000108,23
