Negative,Positive,WC
0.731256,0.268744,19
1.000000,0.000000,8
0.972705,0.027295,7
1.000000,0.000000,9
0.484710,0.515290,15
0.000001,0.999999,17
0.045788,0.954212,23
0.999795,0.000205,7
0.999987,0.000013,9
0.999905,0.000095,10
0.994560,0.005440,6
1.000000,0.000000,14
0.000310,0.999690,7
0.968642,0.031358,12
1.000000,0.000000,6
0.999986,0.000014,20
1.000000,0.000000,4
0.000466,0.999534,9
0.000000,1.000000,18
0.955949,0.044051,23
0.999324,0.000676,20
0.999684,0.000316,5
1.000000,0.000000,28
0.007089,0.992911,21
0.999992,0.000008,15
0.998944,0.001056,14
0.184549,0.815451,20
0.999998,0.000002,16
0.230065,0.769935,24
0.043965,0.956035,17
0.999893,0.000107,12
1.000000,0.000000,12
0.493537,0.506463,1
0.000000,1.000000,18
0.999998,0.000002,10
0.499186,0.500814,9
1.000000,0.000001,16
1.000000,0.000000,27
0.999922,0.000078,19
0.656185,0.343815,19
0.000000,1.000000,20
0.918630,0.081370,9
0.000008,0.999992,7
0.000517,0.999483,17
0.136778,0.863222,20
1.000000,0.000000,15
0.546314,0.453686,15
0.976394,0.023606,7
1.000000,0.000000,21
0.999993,0.000007,10
0.999751,0.000249,9
1.000000,0.000000,11
1.000000,0.000000,25
0.358707,0.641293,20
0.784667,0.215333,16
1.000000,0.000000,20
0.521917,0.478083,10
0.994099,0.005901,17
1.000000,0.000000,16
1.000000,0.000000,23
0.994147,0.005853,17
1.000000,0.000000,23
1.000000,0.000000,10
0.000000,1.000000,96
0.318046,0.681954,3
0.999995,0.000005,7
0.002177,0.997823,14
0.000000,1.000000,5
0.089977,0.910023,13
1.000000,0.000000,20
1.000000,0.000000,23
0.999975,0.000025,20
1.000000,0.000000,11
1.000000,0.000000,14
0.999353,0.000647,24
0.975599,0.024401,25
0.000000,1.000000,12
0.999997,0.000003,21
0.000053,0.999947,5
0.614706,0.385294,12
0.000121,0.999879,6
0.926471,0.073529,17
0.999885,0.000115,19
0.000304,0.999696,15
0.000034,0.999966,8
1.000000,0.000000,21
1.000000,0.000000,14
0.999947,0.000053,22
0.024211,0.975789,20
0.999998,0.000002,12
0.999994,0.000006,14
0.999935,0.000065,19
0.410298,0.589703,21
1.000000,0.000000,14
0.996273,0.003727,18
0.999982,0.000018,18
0.264384,0.735616,12
0.487995,0.512005,6
0.999999,0.000001,16
0.999630,0.000370,7
0.960464,0.039536,10
0.999840,0.000160,6
0.999984,0.000016,15
1.000000,0.000000,19
0.000214,0.999786,21
0.012009,0.987991,21
0.000146,0.999854,23
0.153474,0.846526,5
1.000000,0.000000,21
0.000000,1.000000,14
0.999999,0.000001,17
0.999999,0.000001,9
0.009505,0.990495,6
0.879293,0.120707,6
0.999997,0.000003,23
0.995578,0.004421,19
1.000000,0.000000,21
0.360642,0.639358,6
0.999896,0.000104,7
0.003455,0.996545,4
0.000000,1.000000,10
0.000331,0.999669,19
0.276616,0.723384,11
0.999998,0.000002,14
0.064464,0.935536,22
0.638776,0.361224,6
0.000001,0.999999,7
0.999054,0.000946,10
0.999572,0.000428,13
0.000002,0.999998,24
0.881493,0.118507,16
0.000004,0.999996,6
0.442396,0.557604,23
0.004614,0.995386,25
0.986368,0.013632,21
0.999879,0.000121,13
0.943361,0.056639,26
1.000000,0.000000,17
1.000000,0.000000,12
1.000000,0.000000,15
1.000000,0.000000,19
0.086257,0.913743,9
0.379320,0.620680,14
0.912496,0.087504,21
1.000000,0.000000,17
1.000000,0.000000,16
0.999995,0.000005,15
0.999814,0.000186,6
1.000000,0.000000,9
0.376286,0.623714,23
0.999991,0.000009,11
0.999985,0.000015,9
1.000000,0.000000,10
0.392563,0.607437,24
0.999975,0.000025,6
0.003455,0.996545,4
1.000000,0.000000,10
0.022901,0.977099,7
1.000000,0.000000,21
0.999617,0.000383,14
0.999999,0.000001,8
0.796910,0.203090,15
1.000000,0.000000,15
0.999998,0.000002,5
1.000000,0.000000,14
0.999995,0.000005,30
1.000000,0.000000,19
1.000000,0.000000,16
0.000002,0.999998,26
0.000008,0.999992,16
0.000285,0.999715,11
0.000285,0.999715,11
0.000000,1.000000,6
0.000003,0.999997,9
1.000000,0.000000,26
0.539426,0.460574,10
0.986549,0.013451,17
0.284823,0.715177,24
0.999947,0.000053,12
0.000018,0.999982,22
1.000000,0.000000,17
0.998317,0.001683,18
0.999810,0.000190,12
0.755555,0.244445,11
0.998437,0.001563,12
0.558511,0.441489,10
0.024832,0.975168,7
0.820886,0.179114,17
0.000002,0.999998,12
0.170729,0.829271,3
1.000000,0.000000,12
0.990380,0.009620,13
0.986184,0.013816,12
1.000000,0.000000,22
0.429806,0.570194,3
0.000022,0.999978,11
0.003320,0.996680,23
0.000000,1.000000,9
0.000001,0.999999,19
0.000000,1.000000,8
0.077568,0.922432,8
1.000000,0.000000,9
0.000000,1.000000,7
0.000000,1.000000,9
0.273069,0.726931,11
0.024701,0.975299,23
0.000808,0.999192,22
0.100864,0.899136,15
1.000000,0.000000,9
0.921421,0.078579,15
0.004370,0.995630,4
1.000000,0.000000,11
0.000121,0.999879,6
0.983669,0.016331,12
0.268657,0.731343,16
0.027929,0.972071,6
0.941724,0.058276,12
0.144899,0.855101,14
0.999999,0.000001,11
0.000689,0.999311,14
1.000000,0.000000,6
0.233943,0.766057,15
0.000063,0.999937,9
0.972664,0.027336,8
0.999176,0.000824,8
0.000000,1.000000,11
0.893890,0.106110,7
0.000797,0.999203,5
0.013064,0.986936,11
0.563246,0.436754,2
0.818698,0.181302,5
1.000000,0.000000,15
0.000345,0.999655,16
0.999983,0.000017,14
0.999948,0.000052,4
0.987130,0.012870,10
1.000000,0.000000,9
0.000002,0.999998,13
0.970667,0.029333,25
0.422839,0.577161,10
0.975236,0.024764,20
1.000000,0.000000,12
0.238453,0.761547,22
1.000000,0.000000,13
0.000030,0.999970,23
0.000194,0.999806,24
1.000000,0.000000,16
