"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@thedanieb Sofia , SoFIA! Helllll YES! Congratulations! #TonyNominations #theColorPurple",FALSE,203,"thedanieb",2016-05-03 16:06:46,FALSE,NA,"727529843999432704","801311472","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",54,FALSE,FALSE,NA,NA
".@CynthiaEriVo  Another standing Ovation for you. So deserved. Your debut Tony nomination!! #theColorPurple",FALSE,933,NA,2016-05-03 16:04:48,FALSE,NA,"727529348287188994",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",192,FALSE,FALSE,NA,NA
"Congratulations to entire cast @BwayColorPurple ! Tony nomination for Best Musical Revival.<U+0001F44F><U+0001F3FE><U+0001F44F><U+0001F3FE> https://t.co/jQCoQVvkID",FALSE,3435,NA,2016-05-03 16:00:33,FALSE,NA,"727528278748073984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",595,FALSE,FALSE,NA,NA
"Do u all agree we are each versions of each other? #SuperSoulSunday",FALSE,2439,NA,2016-05-01 15:24:27,FALSE,NA,"726794420150931457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",484,FALSE,FALSE,NA,NA
"@SuperSoulSunday @TheNormanLear morning supersoulers",FALSE,157,"SuperSoulSunday",2016-05-01 15:14:52,FALSE,"726790568961970176","726792009181077504","373617611","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",32,FALSE,FALSE,NA,NA
"RT @OWNAmbassadors: Thanks to everyone for tweeting along with us for #Supersoulsunday.  We appreciate all the great Tweets and RTs!",FALSE,0,NA,2016-04-24 16:00:17,FALSE,NA,"724266721578602496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",87,TRUE,FALSE,NA,NA
"RT @GrowingOWN: Great day in the twitterhood. So grateful for #SuperSoulSunday. How blessed are we that we get to gather and do this every…",FALSE,0,NA,2016-04-24 15:39:22,FALSE,NA,"724261457668395008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",82,TRUE,FALSE,NA,NA
"@3LWTV @IyanlaVanzant so right.. Listening is only 1st step. Acting on what you heard! #SuperSoulSunday",FALSE,193,"3LWTV",2016-04-24 15:29:36,FALSE,"724254651843932160","724259002503204867","20831692","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",42,FALSE,FALSE,NA,NA
"@SoulfulJourneyL @DevlinHuxtable @IyanlaVanzant me too. Welts on the back all too familiar. #SuperSoulSunday",FALSE,81,"SoulfulJourneyL",2016-04-24 15:27:48,FALSE,"724257865079263237","724258546527789056","1016058481","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",18,FALSE,FALSE,NA,NA
"""No greater battle in life than the battle between the parts of u that want to be healed and the parts of u content remaining broken.""",FALSE,12990,NA,2016-04-24 15:18:56,FALSE,NA,"724256316416348160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",7770,FALSE,FALSE,NA,NA
"Great illuminating conversation as always with @IyanlaVanzant #SuperSoulSunday",FALSE,569,NA,2016-04-24 15:11:58,FALSE,NA,"724254562597539841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",112,FALSE,FALSE,NA,NA
"I so agree @IyanlaVanzant ""Trusting yourself"" is key! #SuperSoulSunday",FALSE,860,NA,2016-04-24 15:10:46,FALSE,NA,"724254260309819393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",286,FALSE,FALSE,NA,NA
"""The belief that we are separate"".. Our biggest mistake says @IyanlaVanzant #SuperSoulSunday",FALSE,768,NA,2016-04-24 15:06:31,FALSE,NA,"724253191714394113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",213,FALSE,FALSE,NA,NA
"@OWNAmbassadors Happy #SuperSoulSunday",FALSE,82,"OWNAmbassadors",2016-04-24 15:03:56,FALSE,"724252154429464576","724252541244960768","502609327","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",23,FALSE,FALSE,NA,NA
"Get tin' ready for the Truth about ""TRUST"" with @IyanlaVanzant #SuperSoulSunday",FALSE,592,NA,2016-04-24 14:55:53,FALSE,NA,"724250515341602816",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Oprah",122,FALSE,FALSE,NA,NA
"RT @CBSThisMorning: WATCH: Stevie Wonder's emotional musical tribute to his dear friend #Prince https://t.co/nCWiWuAt8t
https://t.co/ze9KVu…",FALSE,0,NA,2016-04-22 18:17:44,FALSE,NA,"723576535446212608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",743,TRUE,FALSE,NA,NA
"@RichOnOWN going to visit him in Minnesota.",FALSE,318,"RichOnOWN",2016-04-21 18:51:02,FALSE,"723222198643613698","723222530887159808","407474647","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",62,FALSE,FALSE,NA,NA
"Prince the doves really are crying now. Listening to your music. Remembering you. #RIPPrince",FALSE,27606,NA,2016-04-21 18:49:01,FALSE,NA,"723222021761556480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",11366,FALSE,FALSE,NA,NA
"RT @IyanlaVanzant: If music is the language of the heavens consider that brother Prince now has the glorious opportunity to be on a musical…",FALSE,0,NA,2016-04-21 18:47:30,FALSE,NA,"723221639555637249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",1606,TRUE,FALSE,NA,NA
"Just debuted @GreenleafOWN at @Tribeca. Here’s an inside look into the show. Can’t wait for you all to see it 6/21
https://t.co/V2yGUpOL5D",FALSE,1826,NA,2016-04-20 23:50:34,FALSE,NA,"722935523090665473",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Oprah",527,FALSE,FALSE,NA,NA
"Doing #FacebookLive in a few. Getting ready to screen @GreenleafOWN at @Tribeca! <U+0001F44D><U+0001F3FE> https://t.co/hfspRbClOQ",FALSE,811,NA,2016-04-20 20:33:38,FALSE,NA,"722885962187931649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",170,FALSE,FALSE,NA,NA
"Surprising a WW meeting in NyC",FALSE,724,NA,2016-04-19 22:09:10,FALSE,NA,"722547616463118336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",137,FALSE,FALSE,NA,NA
