Negative,Positive,WC
0.999150,0.000850,17
0.033025,0.966975,26
1.000000,0.000000,25
0.999998,0.000002,27
0.999971,0.000029,26
0.999999,0.000001,31
0.296579,0.703421,28
0.008451,0.991549,23
0.999988,0.000012,21
0.000421,0.999579,29
0.008955,0.991045,10
0.102598,0.897402,23
0.001270,0.998730,23
0.999922,0.000078,25
0.580040,0.419960,27
0.999998,0.000002,27
0.003582,0.996418,4
0.998651,0.001349,21
0.000009,0.999991,20
0.999997,0.000003,25
0.999959,0.000041,26
1.000000,0.000000,18
0.014678,0.985322,5
0.006533,0.993467,20
0.364429,0.635571,4
1.000000,0.000000,25
0.000000,1.000000,26
1.000000,0.000000,22
0.000219,0.999781,24
0.999991,0.000009,27
0.000900,0.999100,24
0.820532,0.179468,29
0.563246,0.436754,2
0.999980,0.000020,24
0.963255,0.036745,20
1.000000,0.000000,19
0.141625,0.858375,20
0.000002,0.999998,23
1.000000,0.000000,20
0.630834,0.369166,1
0.838326,0.161674,17
0.165780,0.834220,22
0.028350,0.971650,25
0.493537,0.506463,1
0.999547,0.000453,19
0.000000,1.000000,23
1.000000,0.000000,18
0.843274,0.156726,23
0.999997,0.000003,20
0.999999,0.000001,23
0.563246,0.436754,2
0.035326,0.964674,20
0.999762,0.000238,19
1.000000,0.000000,11
0.563246,0.436754,2
1.000000,0.000000,6
1.000000,0.000000,19
0.000022,0.999978,22
1.000000,0.000000,21
1.000000,0.000000,21
0.563246,0.436754,2
1.000000,0.000000,22
0.493537,0.506463,1
0.000675,0.999326,19
1.000000,0.000000,24
0.000148,0.999852,22
0.001637,0.998363,22
0.000271,0.999729,21
1.000000,0.000000,20
0.889932,0.110068,25
0.000000,1.000000,27
1.000000,0.000000,24
0.997132,0.002868,28
0.999995,0.000005,23
0.005767,0.994233,11
0.000001,0.999999,24
1.000000,0.000000,22
0.000135,0.999865,22
0.999522,0.000478,26
0.983062,0.016938,26
0.197107,0.802893,20
0.511177,0.488823,18
0.006084,0.993916,19
1.000000,0.000000,21
0.999997,0.000003,21
0.999889,0.000111,32
1.000000,0.000000,23
0.999998,0.000002,20
0.563246,0.436754,2
0.000168,0.999832,4
0.000116,0.999884,23
0.661936,0.338064,7
0.003004,0.996997,23
0.000209,0.999791,19
0.000690,0.999310,23
0.995295,0.004705,22
0.991537,0.008463,21
0.819826,0.180174,23
0.123718,0.876282,11
0.001139,0.998861,21
0.106338,0.893662,17
0.073377,0.926623,22
0.999751,0.000249,27
0.999994,0.000006,15
0.000001,0.999999,18
1.000000,0.000000,8
1.000000,0.000000,17
0.998318,0.001682,26
0.794882,0.205118,25
0.015831,0.984169,5
0.017340,0.982660,8
0.000000,1.000000,5
0.009539,0.990461,24
1.000000,0.000000,14
0.000875,0.999125,20
0.999514,0.000486,10
1.000000,0.000000,18
0.000013,0.999987,21
0.999999,0.000001,27
0.000548,0.999452,24
0.017053,0.982947,22
0.990290,0.009710,21
0.840737,0.159263,2
0.740040,0.259960,6
0.000949,0.999051,16
0.000000,1.000000,24
0.000001,0.999999,11
0.999719,0.000281,10
0.999998,0.000002,23
